BANK;NUMBER
"BCO ITAÚ BBA S.A.	184";184
"ITAÚ UNIBANCO S.A.	341";341
"BANCO DO BRASIL S.A. 001";001
"001 Bco Do Brasil S.A";001
"CAIXA ECONOMICA FEDERAL 104";104
"003 Bco Da Amazonia S.A";003
"004 Bco Do Nordeste Do Brasil S.A";004
"021 Bco Banestes S.A";021
"033 Bco Santander (Brasil) S.A";033
"037 Bco Do Est. Do Pa S.A";037
"041 Bco Do Estado Do Rs S.A";041
"047 Bco Do Est. De Se S.A";047
"070 Brb - Bco De Brasilia S.A";070
"077 Banco Inter";077
"077 - Banco Inter";077
"BANCO INTER     77";077
"BANCO INTER 77";077
"083 Bco Da China Brasil S.A";083
"104 Caixa Economica Federal";104
"208 Banco Btg Pactual S.A";208
"212 Banco Original";212
"237 Bco Bradesco S.A";237
"318 Bco Bmg S.A";318
"341 Itaú Unibanco S.A";341
"422 Bco Safra S.A";422
"623 Banco Pan";623
"NU PAGAMENTOS S.A";260
"BANCO DO BRASIL S.A";001
"BANCO INTER";077
"CAIXA ECONOMICA FEDERAL";104
"BCO BRADESCO S.A";237
"ITAÚ UNIBANCO S.A..";341
"PAGSEGURO";290
"BCO SANTANDER (BRASIL) S.A";033
"BCO DO EST. DO PA S.A";037
"BCO C6 S.A";336
"NU PAGAMENTOS S.A. (Nubank)	260";260
"BCO BRADESCO S.A.       237";237
"BCO VOTORANTIM S.A.     655";655
"BCO SANTANDER (BRASIL) S.A.     33";033
"BCO VOTORANTIM S.A. 655";655
"BANCO INTER77";077
"BANCO ORIGINAL 212";212
"BCO SANTANDER (BRASIL) S.A. 33";033
"BCO BRADESCO S.A.	237";237
"BANCO ORIGINAL	212";212
"BCO VOTORANTIM S.A.	655";655
"BCO SANTANDER (BRASIL) S.A.	33";033
"001 Bco Do Brasil S.A	";001
"Bco Do Brasil SA";001